team,possession_pct,passes_per_min,pressures_per_min,avg_shot_distance,total_xg,match_id,result
Sweden,26.101768677158145,2.6968677823726654,1.9324013243772642,14.821750195323563,2.790486815,7566,win
Germany,60.87031098358794,7.385544114852817,1.14707360911883,16.51652410314787,2.708915636,7567,loss
South Korea,39.129689016412065,2.6060707435243593,2.9381183672166524,21.79924105952116,1.774630282,7567,win
Costa Rica,36.144112925306274,3.8065194131806583,1.2407991457329217,20.061826734429555,1.576212685,7568,draw
Switzerland,63.855887074693726,6.256571963653292,1.8086224836106997,18.44213690100204,1.1964671297,7568,draw
Panama,30.114906701618168,2.984615354003945,1.743589725706772,23.558108498252793,0.6907955865,7569,loss
Tunisia,69.88509329838183,6.646153777988166,1.507692292228797,16.054683219465286,2.8524550040000003,7569,win
Belgium,52.36536790417738,6.11170777538445,2.728249165110106,19.096952598825023,0.965334323,7570,win
England,47.634632095822624,5.520945160892104,1.6004296283519912,20.186210519637395,1.2006863693,7570,loss
Colombia,58.04129054979773,4.958325891558866,1.021457694398393,15.17882305056013,0.28486186999999996,7571,win
Senegal,41.95870945020227,3.4899804558611764,2.3089199967130343,23.075176346761832,0.359910063,7571,loss
Japan,52.51679388901758,6.308436256760492,1.8914561860133672,15.711706848786315,0.8823760785,7572,loss
Poland,47.48320611098243,5.362708163753808,1.6335303424660899,18.008549176134064,1.040714051,7572,win
Portugal,35.45672314233136,4.08779626948766,2.812993824621663,20.417709707373113,1.4345957889999998,7576,draw
Spain,64.54327685766864,8.217734768557667,2.2651448400511516,16.602878738618028,1.6609466705,7576,draw
Iran,35.281978345540665,2.7798021574200713,2.1655387593384825,22.30150884943201,0.6975558777,7577,win
Morocco,64.71802165445933,5.122332065358334,1.5512753612568937,18.731104165634893,1.0591950265,7577,loss
Egypt,42.02571089277543,4.877795061073374,1.726469040806354,24.524256307447363,0.364488455,7578,loss
Uruguay,57.974289107224564,6.479459110978064,1.2376494931081696,18.428922229624728,1.940818593,7578,win
Portugal,61.4266479877802,6.180302176338695,1.0213652837794134,23.09359858176552,1.0208288981,7579,loss
Uruguay,38.5733520122198,3.032829567140911,1.907243336037068,19.193854020777557,0.476007941,7579,win
Argentina,61.86551092256559,5.628616458404877,1.8937401168465007,18.3347084086334,1.446559447,7580,loss
France,38.13448907743441,3.6822724494237513,2.9563387379659263,16.753565999156773,1.6380270319999999,7580,win
Croatia,55.58217996087156,5.190581460721362,1.4361909605604972,19.220593459853067,6.087735598,7581,draw
Denmark,44.417820039128436,4.534929065682874,1.2722778618008752,19.309873974551362,4.613994755,7581,draw
Russia,20.635673892516127,2.5921017551648418,2.2024913686523346,15.628353902099681,4.5404268089999995,7582,draw
Spain,79.36432610748388,9.199575861121845,0.9780015824701703,16.185656430352104,5.358603154,7582,draw
Brazil,48.561893091791305,4.263431498127229,2.6724436463870678,17.21788588144048,3.320421268,7583,win
Mexico,51.438106908208695,4.46100515291849,1.590987851740161,21.877661170569194,0.58279982,7583,loss
Belgium,57.28669280407621,6.500701193891643,1.4726507558977833,16.325903152063763,2.9178317195,7584,win
Japan,42.713307195923775,4.807152824609192,1.7566619731066413,21.62600311482112,0.6937694522,7584,loss
Colombia,50.80821873527628,4.367635472367357,1.4925373017082695,18.930450985370506,4.7486502155,7585,draw
England,49.191781264723716,4.752552987018437,1.1940298413666155,15.041648782516404,6.161789848,7585,draw
Sweden,32.331956534831825,3.15789470403849,2.9293628504567573,20.68846001587505,0.910595485,7586,win
Switzerland,67.66804346516817,6.388504088762077,1.2569251946995306,24.270187715607438,0.5329880485,7586,loss
France,61.079827328627545,5.970515907646375,1.800631781671129,24.307669097016653,0.5387829577000001,8649,win
Uruguay,38.920172671372455,3.706563667533552,1.9164618962815525,19.530304436979655,0.693195278,8649,loss
Belgium,39.34384132094308,4.050499694366127,3.4718568808852512,22.345334676248193,0.40525613299999996,8650,win
Brazil,60.656158679056915,5.597054123124102,1.7674907757234006,18.3856845472053,2.6091956662,8650,loss
England,55.897754340357686,5.924237047447524,1.094352847130626,19.416796866533453,0.75823599,8651,win
Sweden,44.10224565964232,4.209049412040869,2.672746376645952,18.965285102178537,0.834186639,8651,loss
Croatia,68.48450961929628,6.0203018790710425,0.9604372647545243,16.805767175059234,5.565318296,8652,draw
Russia,31.51549038070373,3.2561165805092407,1.5694950424037348,14.009316720828357,4.988439122,8652,draw
Belgium,61.92825530813448,6.472727205478159,1.0077921973216395,20.394160119491918,0.566868294,8655,loss
France,38.07174469186552,3.8129869733715642,1.5480519319682917,18.546304394435662,1.681686764,8655,win
Croatia,53.27232107111472,5.274018448822041,1.4230202217096055,20.006720371211713,2.1413194335,8656,win
England,46.72767892888529,4.317298638746092,2.620929899871929,18.639284764815624,0.5466641,8656,loss
Belgium,42.17854688810211,5.361747793390962,2.7829512594955097,16.88854910503069,1.32065846,8657,win
England,57.82145311189788,7.360315107159939,2.9441260428639753,18.876507321982402,1.335356625,8657,loss
Croatia,63.299669467591535,5.8285112485164525,1.0205155074117254,18.40209493486372,1.4802876897,8658,loss
France,36.70033053240845,3.072067300662101,1.6517622130272256,20.296665180997618,1.097963608,8658,win
